event_count,mean_mse_gain_vs_geometry,mean_mse_gain_vs_hard,mean_mse_gain_vs_pre,ticker,win_share_vs_geometry,win_share_vs_hard,win_share_vs_pre
8,3.31187860898483e-10,3.31187860898483e-10,4.9531674860836865e-09,NVDA,0.125,0.125,0.125
9,0.0,0.0,4.699059548661542e-09,CSCO,0.0,0.0,0.1111111111111111
5,6.863255324368545e-10,6.863255324368545e-10,1.88643543614461e-09,AAPL,0.2,0.2,0.2
6,-4.801467996950691e-11,0.0,1.0474874790082657e-09,AMZN,0.0,0.0,0.3333333333333333
5,1.1995168294331833e-10,0.0,1.8404622987866595e-10,DIS,0.4,0.0,0.6
5,0.0,0.0,0.0,AMGN,0.0,0.0,0.0
7,0.0,3.8677141411130575e-11,-1.8167513194397822e-11,MSFT,0.0,0.14285714285714285,0.0
8,-2.3107602068933014e-09,-2.330895216086307e-09,-1.2776324353190412e-10,NKE,0.0,0.0,0.0
7,1.0445065281552e-10,0.0,-4.428813040210822e-10,IBM,0.14285714285714285,0.0,0.2857142857142857
