dominant_component,dominant_component_label,dominant_sign,event_count,geometry_only_rmse,hard_abstention_rmse,mean_abs_score,mean_mse_gain_vs_geometry,mean_mse_gain_vs_hard,mean_mse_gain_vs_pre,positive_gain_mass_share_vs_pre,pre_call_market_rmse,question_role_rmse,win_share_vs_geometry,win_share_vs_hard,win_share_vs_pre
1,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-1,11,0.0001804242907878994,0.00018049821479074237,1.3336887586665318,-2.6680836328491645e-11,0.0,4.779470732725448e-10,0.08588326695980486,0.00018181736060100947,0.00018049821479074237,0.09090909090909091,0.0,0.2727272727272727
2,we re / that we / and we / and so,1,10,4.1223923638660375e-05,4.081629485515065e-05,1.8156746063077367,6.051595345129582e-11,2.7073998987791404e-11,6.051595345129582e-11,0.005283144040367203,4.1223923638660375e-05,4.048327959435606e-05,0.1,0.1,0.1
3,data center / computing / data / center / nvidia,1,10,9.560002908392973e-05,9.560002908392973e-05,1.9085575960496854,2.649502887187864e-10,2.649502887187864e-10,3.94981672963087e-09,0.3459358505337509,0.00011324412568323486,9.420411494265748e-05,0.1,0.1,0.1
2,you / just / your / about / how / on / maybe / could,-1,8,6.348866609269969e-05,6.348866609269969e-05,1.6665285927764177,0.0,0.0,-1.4059243744210408e-09,0.0,5.123364468598027e-05,6.348866609269969e-05,0.0,0.0,0.0
1,the / and / to / of / that / we / you / in,1,7,0.000212056146793902,0.000212056146793902,1.1184910984847145,-2.150636284708877e-09,-2.150636284708877e-09,7.641948226763938e-09,0.4670084110045641,0.00023400938849659376,0.0002170678365806086,0.14285714285714285,0.14285714285714285,0.14285714285714285
4,consulting / red hat / hat / red / arvind / software / cash,1,7,5.2256467994986774e-05,5.124731987621945e-05,2.962366541923836,1.0445065281552e-10,0.0,-4.428813040210822e-10,0.010351642608135083,4.672693538500546e-05,5.124731987621945e-05,0.14285714285714285,0.0,0.2857142857142857
3,disney / nike / sports / parks,-1,4,2.1626531981760184e-05,2.0674546359523452e-05,1.1592446250782784,0.0,-4.027001838601157e-11,8.011818366918454e-11,0.0027977806210559416,2.340566318708531e-05,2.1626531981760184e-05,0.0,0.0,0.25
4,and so / iphone / china / data center / data / center,-1,3,0.0001666290843430612,0.0001666290843430612,0.9569746279730796,0.0,0.0,3.159156842232561e-09,0.08273990423232191,0.00017585337241929583,0.0001666290843430612,0.0,0.0,0.3333333333333333
