n_test,selected_model,test_r2_content,test_r2_pre,test_r2_responsiveness,test_r2_selected,ticker,val_r2_content,val_r2_pre,val_r2_responsiveness
5,residual_pre_call_market_plus_a4_plus_content_accountability_factor_observability_gate,0.9937493044902824,0.9945024082810152,0.9947859553977734,0.9937493044902824,AAPL,0.9998768866988793,0.9998300894004377,0.9998411603306535
5,residual_pre_call_market_plus_a4_plus_responsiveness_factor_observability_gate,0.39067551103605735,0.7517550208618401,0.39701412642876033,0.39701412642876033,AMGN,0.999690854999885,0.9996573095084921,0.9996967441593602
6,residual_pre_call_market_plus_a4_plus_content_accountability_factor_observability_gate,0.9870131316834182,0.9832201549309215,0.9842964265018678,0.9870131316834182,AMZN,0.999858144711995,0.9998494265572286,0.99983185638791
9,residual_pre_call_market_plus_a4_plus_content_accountability_factor_observability_gate,0.9944778632788874,0.9954270449002872,0.9948532418770958,0.9944778632788874,CSCO,0.9981367637569488,0.9973601077310792,0.998064274586392
5,residual_pre_call_market_plus_a4_plus_responsiveness_factor_observability_gate,0.9988747567364785,0.999221250400446,0.9990245075035874,0.9990245075035874,DIS,0.9998060825332387,0.9997080403868669,0.9998158231065256
7,residual_pre_call_market_plus_a4_plus_responsiveness_factor_observability_gate,0.9976492279160682,0.9991543915153775,0.9978443015492977,0.9978443015492977,IBM,0.9997352563826688,0.9997110915963643,0.9997551555966143
7,residual_pre_call_market_plus_a4_plus_responsiveness_factor_observability_gate,0.9553189220555851,0.9413915768914621,0.9703616295190769,0.9703616295190769,MSFT,0.9997145101232502,0.9996886142191334,0.9997201410020362
8,residual_pre_call_market_plus_a4_plus_responsiveness_factor_observability_gate,0.9979283538851289,0.9963126393698792,0.9979234664043588,0.9979234664043588,NKE,0.9997811979262522,0.999707082598186,0.9997850392460265
8,residual_pre_call_market_plus_a4_plus_content_accountability_factor_observability_gate,0.9993336901986378,0.9995731480956261,0.99930398111669,0.9993336901986378,NVDA,0.9997679138834558,0.9997083608158329,0.9997633679157868
