candidate_r2,candidate_rmse,held_out_ticker,model,n_remaining,prior_r2,prior_rmse,r2_gain,rmse_gain
0.8913149543668563,0.0010869052325191751,AAPL,residual_market_plus_controls,63,0.02284733254518556,0.0032590272699415386,0.8684676218216707,0.0021721220374223632
0.8997101729115756,0.0010274208958249297,AMGN,residual_market_plus_controls,65,0.015816061892710787,0.003218533912444549,0.8838941110188648,0.0021911130166196195
0.8957096905700352,0.001052316054330636,AMZN,residual_market_plus_controls,64,0.018701744580955193,0.0032279346329548795,0.87700794598908,0.0021756185786242434
0.9152403573820167,0.0009126583685107788,CSCO,residual_market_plus_controls,62,0.028923373437384714,0.0030891602109842276,0.886316983944632,0.0021765018424734486
0.8958356910269187,0.0010435309556463867,DIS,residual_market_plus_controls,66,0.03327968485286681,0.003179042183310165,0.8625560061740519,0.0021355112276637785
0.8919190906281502,0.0010727858121341246,IBM,residual_market_plus_controls,64,0.04237808520751396,0.0031932694363563624,0.8495410054206363,0.0021204836242222375
0.8876139715532188,0.0010967504905076337,MSFT,residual_market_plus_controls,62,-0.017476100177625353,0.00329999881244827,0.9050900717308441,0.002203248321940636
0.9038561007690272,0.001032524543582334,NKE,residual_market_plus_controls,62,0.03535661843599491,0.003270565961939337,0.8684994823330323,0.0022380414183570028
0.7433390570814742,0.0008843752112636332,NVDA,residual_market_plus_controls,60,0.21755074623238624,0.0015441331923778316,0.525788310849088,0.0006597579811141984
0.8901742409528535,0.0010925941987459111,AAPL,residual_market_controls_plus_a4,63,0.02284733254518556,0.0032590272699415386,0.8673269084076679,0.0021664330711956272
0.8934653760708612,0.0010589253411164745,AMGN,residual_market_controls_plus_a4,65,0.015816061892710787,0.003218533912444549,0.8776493141781504,0.0021596085713280746
0.8936711082884199,0.0010625511892247829,AMZN,residual_market_controls_plus_a4,64,0.018701744580955193,0.0032279346329548795,0.8749693637074647,0.002165383443730097
0.9229804501068587,0.0008699898184127298,CSCO,residual_market_controls_plus_a4,62,0.028923373437384714,0.0030891602109842276,0.894057076669474,0.002219170392571498
0.8915842639071655,0.0010646136483025244,DIS,residual_market_controls_plus_a4,66,0.03327968485286681,0.003179042183310165,0.8583045790542987,0.002114428535007641
0.8899142625871098,0.0010826898219600473,IBM,residual_market_controls_plus_a4,64,0.04237808520751396,0.0031932694363563624,0.8475361773795959,0.002110579614396315
0.8880045793149947,0.0010948429040239201,MSFT,residual_market_controls_plus_a4,62,-0.017476100177625353,0.00329999881244827,0.90548067949262,0.00220515590842435
0.8956585527951455,0.0010756424819099294,NKE,residual_market_controls_plus_a4,62,0.03535661843599491,0.003270565961939337,0.8603019343591506,0.0021949234800294074
0.7648065108371864,0.0008465825564759304,NVDA,residual_market_controls_plus_a4,60,0.21755074623238624,0.0015441331923778316,0.5472557646048002,0.0006975506359019012
0.9258787764189188,0.0008975901405078096,AAPL,residual_market_controls_plus_a4_plus_qna_lsa,63,0.02284733254518556,0.0032590272699415386,0.9030314438737332,0.002361437129433729
0.9287897106489247,0.0008657476635763058,AMGN,residual_market_controls_plus_a4_plus_qna_lsa,65,0.015816061892710787,0.003218533912444549,0.9129736487562139,0.0023527862488682432
0.926281853929247,0.0008847313579555624,AMZN,residual_market_controls_plus_a4_plus_qna_lsa,64,0.018701744580955193,0.0032279346329548795,0.9075801093482918,0.002343203274999317
0.9640326023232767,0.0005945223561916584,CSCO,residual_market_controls_plus_a4_plus_qna_lsa,62,0.028923373437384714,0.0030891602109842276,0.935109228885892,0.0024946378547925693
0.9270872600362013,0.0008730670086806602,DIS,residual_market_controls_plus_a4_plus_qna_lsa,66,0.03327968485286681,0.003179042183310165,0.8938075751833345,0.002305975174629505
0.9260170827712451,0.0008875733467857505,IBM,residual_market_controls_plus_a4_plus_qna_lsa,64,0.04237808520751396,0.0031932694363563624,0.8836389975637311,0.0023056960895706117
0.9234903379408733,0.0009049192295456683,MSFT,residual_market_controls_plus_a4_plus_qna_lsa,62,-0.017476100177625353,0.00329999881244827,0.9409664381184987,0.0023950795829026017
0.9294632798524787,0.0008843967724228739,NKE,residual_market_controls_plus_a4_plus_qna_lsa,62,0.03535661843599491,0.003270565961939337,0.8941066614164838,0.002386169189516463
0.7932409484852974,0.0007937594958266412,NVDA,residual_market_controls_plus_a4_plus_qna_lsa,60,0.21755074623238624,0.0015441331923778316,0.5756902022529111,0.0007503736965511904
