alpha,val_mae,val_pred_gain_max,val_pred_gain_min,val_qa_share,val_r2,val_rmse
0.01,0.00010124364544072733,8.942218084400079e-10,-2.1282735175614915e-08,0.125,0.9988962305002904,0.0001828417887285875
0.1,0.00010124364544072733,8.892553392761771e-10,-2.1253397403625985e-08,0.125,0.9988962305002904,0.0001828417887285875
1.0,0.00010124364544072733,8.466658244650506e-10,-2.099042624821277e-08,0.125,0.9988962305002904,0.0001828417887285875
10.0,0.00010124364544072733,6.069196472742655e-10,-1.925194960571034e-08,0.125,0.9988962305002904,0.0001828417887285875
100.0,0.00010124364544072733,-3.981465713796981e-10,-1.1838280301906929e-08,0.0,0.9988962305002904,0.0001828417887285875
1000.0,0.00010124364544072733,-1.6347821452165939e-09,-3.866803973435879e-09,0.0,0.9988962305002904,0.0001828417887285875
