count_a,count_b,log_odds,ngram
8,0,2.3855385049838107,question
8,0,2.3855385049838107,disney
6,0,2.1172745183891317,more
5,0,1.9502204337259652,up
4,0,1.7495497382638137,at
4,0,1.7495497382638137,gaming
4,0,1.7495497382638137,right
4,0,1.7495497382638137,consumers
4,0,1.7495497382638137,million
4,0,1.7495497382638137,give
4,0,1.7495497382638137,i think
4,0,1.7495497382638137,platform
4,0,1.7495497382638137,approach
4,0,1.7495497382638137,those
3,0,1.498235309982908,than
3,0,1.498235309982908,sports
3,0,1.498235309982908,follow
3,0,1.498235309982908,can you
3,0,1.498235309982908,their
3,0,1.498235309982908,follow up
