best_model_count_pre,best_model_count_qa,best_model_count_sem,conservative_logistic_override_on_selected_expert_r2,conservative_logistic_override_on_selected_expert_rmse,conservative_tree_override_on_selected_expert_r2,conservative_tree_override_on_selected_expert_rmse,pattern,pre_better_than_qa_count,qa_better_than_pre_count,qa_pre_tie_count,qa_vs_pre_mse_gain_sum,residual_pre_call_market_only_r2,residual_pre_call_market_only_rmse,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_r2,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_rmse,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_r2,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_rmse,split,test_size,validation_selected_transfer_expert_r2,validation_selected_transfer_expert_rmse
4,0,0,0.9779466206383817,0.00029612629480776605,0.9816022872577972,0.00027047137904268834,tree_sem_logistic_qa,3,0,1,-5.814406238128939e-08,0.9816022872577972,0.00027047137904268834,0.9779466206383817,0.00029612629480776605,0.9816022872577972,0.00027047137904268834,val2020_test_post2020,4,0.9816022872577972,0.00027047137904268834
26,2,2,0.9947456967124317,0.0002548948138186289,0.9947278087322831,0.00025532833269127907,tree_qa_logistic_sem,3,3,24,-7.652228051744905e-09,0.9947484368589056,0.00025482834066586273,0.9947278087322831,0.00025532833269127907,0.9947456967124317,0.0002548948138186289,val2020_test_post2020,30,0.9947278087322831,0.00025532833269127907
26,1,0,0.9991453003532347,0.00016964415258673344,0.999102784202898,0.00017381233270373486,tree_sem_logistic_qa,4,1,22,-1.3674314695944853e-09,0.9991468044561095,0.00016949481672572146,0.9991453003532347,0.00016964415258673344,0.999102784202898,0.00017381233270373486,val2021_test_post2021,27,0.999102784202898,0.00017381233270373486
4,0,1,0.8232960295086098,0.00024256852680873384,0.8233386314101554,0.00024253928438877767,tree_qa_logistic_sem,0,0,5,0.0,0.8233386314101554,0.00024253928438877767,0.8233386314101554,0.00024253928438877767,0.8232960295086098,0.00024256852680873384,val2021_test_post2021,5,0.8232960295086098,0.00024256852680873384
2,3,2,0.9988580804434427,7.336610622236366e-05,0.9984755402939811,8.476873256098957e-05,tree_sem_logistic_qa,2,3,2,3.3826927581595235e-10,0.9988478284319616,7.369470621754706e-05,0.9988580804434427,7.336610622236366e-05,0.9984755402939811,8.476873256098957e-05,val2022_test_post2022,7,0.998467678945857,8.498701960464337e-05
4,2,3,0.9986352008150972,4.007370719564824e-05,0.9990559055603428,3.332981194783134e-05,tree_qa_logistic_sem,4,4,1,1.5627037430453108e-09,0.9989083403924951,3.584006297016033e-05,0.9990559055603428,3.332981194783134e-05,0.9986352008150972,4.007370719564824e-05,val2022_test_post2022,9,0.9986298510619273,4.015217103437907e-05
32,4,2,0.9988168765095483,0.00017512987424280572,0.9988238496146278,0.0001746130204543045,tree_sem_logistic_qa,9,4,25,-5.917322457506792e-08,0.9988769456261678,0.00017062614902735283,0.9988168765095483,0.00017512987424280572,0.9988238496146278,0.0001746130204543045,pooled,38,0.9988235862990775,0.00017463256546785736
34,4,6,0.9941816159163932,0.00022652471029244872,0.9941761794733158,0.00022663051296441733,tree_qa_logistic_sem,7,7,30,-6.089524308699594e-09,0.9941918723264831,0.0002263249679703319,0.9941761794733158,0.00022663051296441733,0.9941816159163932,0.00022652471029244872,pooled,44,0.9941643694523202,0.00022686018655806376
