best_model,chosen_model,conservative_logistic_override_on_selected_expert,conservative_logistic_override_on_selected_expert__err2,conservative_tree_override_on_selected_expert,conservative_tree_override_on_selected_expert__err2,event_key,logistic_choose_qa,pattern,pre_better_than_qa,qa_better_than_pre,qa_pre_tie,qa_vs_pre_mse_gain,residual_pre_call_market_only,residual_pre_call_market_only__err2,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate__err2,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate__err2,sem_vs_pre_mse_gain,split,target,ticker,tree_choose_qa,validation_selected_transfer_expert,validation_selected_transfer_expert__err2,year
residual_pre_call_market_only,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.0005956186169994628,4.4992276879548055e-10,-0.0005929803573215414,5.688054558901575e-10,CSCO_2023_Q4,0,tree_qa_logistic_sem,1,0,0,-5.552564338810507e-10,-0.000620510899619537,1.3549022009106874e-11,-0.0005929803573215414,5.688054558901575e-10,-0.0005956186169994628,4.4992276879548055e-10,-4.3637374678637367e-10,val2022_test_post2022,-0.0006168300000000001,CSCO,1,-0.0005956186169994628,4.4992276879548055e-10,2023
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.0018975547174354423,1.2920633386459034e-09,-0.0018631613864889159,4.947520550661684e-09,CSCO_2024_Q4,1,tree_sem_logistic_qa,0,1,0,7.56959580342318e-11,-0.0018965167700615519,1.3677592966801352e-09,-0.0018975547174354423,1.2920633386459034e-09,-0.0018631613864889159,4.947520550661684e-09,-3.579761253981549e-09,val2022_test_post2022,-0.0019335,CSCO,0,-0.0018631613864889159,4.947520550661684e-09,2024
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.0004527917517299446,1.3996391675030103e-09,-0.00048014456712841417,4.194449155330862e-09,CSCO_2025_Q1,0,tree_qa_logistic_sem,0,1,0,4.173610953515268e-09,-0.0005068571015546849,8.36806010884613e-09,-0.00048014456712841417,4.194449155330862e-09,-0.0004527917517299446,1.3996391675030103e-09,6.968420941343119e-09,val2022_test_post2022,-0.00041538,CSCO,1,-0.0004527917517299446,1.3996391675030103e-09,2025
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,-0.0033042520176794522,6.60900354993612e-10,-0.003331118409071009,1.3419115757950983e-12,DIS_2024_Q1,1,tree_sem_logistic_qa,1,0,0,-4.309595773964291e-10,-0.0033147962017424006,2.299407775971829e-10,-0.0033042520176794522,6.60900354993612e-10,-0.003331118409071009,1.3419115757950983e-12,2.285988660213878e-10,val2022_test_post2022,-0.0033299600000000003,DIS,0,-0.0033042520176794522,6.60900354993612e-10,2024
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,-2.8002860074684277e-05,2.5290095855498734e-10,-3.765525450838956e-05,6.530710329885651e-10,MSFT_2023_Q1,1,tree_sem_logistic_qa,0,1,0,4.001700744335778e-10,-3.765525450838956e-05,6.530710329885651e-10,-2.8002860074684277e-05,2.5290095855498734e-10,-3.765525450838956e-05,6.530710329885651e-10,0.0,val2022_test_post2022,-1.2099999999999996e-05,MSFT,0,-2.8002860074684277e-05,2.5290095855498734e-10,2023
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,-2.1654685315116795e-05,9.830098489779264e-11,-2.4188070462570098e-05,1.5495445824111014e-10,MSFT_2024_Q1,0,tree_qa_logistic_sem,0,1,0,3.606428711251487e-10,-3.444676836025459e-05,5.155973293662588e-10,-2.4188070462570098e-05,1.5495445824111014e-10,-2.1654685315116795e-05,9.830098489779264e-11,4.172963444684662e-10,val2022_test_post2022,-1.174e-05,MSFT,1,-2.4188070462570098e-05,1.5495445824111014e-10,2024
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.0037668174307365016,2.0018975042989796e-09,-0.003812999037172862,2.0708279848780576e-12,NKE_2023_Q3,0,tree_qa_logistic_sem,0,1,0,8.464601156132563e-10,-0.003840689554469613,8.485309435981344e-10,-0.003812999037172862,2.0708279848780576e-12,-0.0037668174307365016,2.0018975042989796e-09,-1.1533665607008452e-09,val2022_test_post2022,-0.0038115600000000003,NKE,1,-0.0037668174307365016,2.0018975042989796e-09,2023
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.00042239227595644124,4.746145686458455e-09,-0.00046676616523058293,1.282922418604172e-08,NKE_2024_Q1,1,tree_sem_logistic_qa,0,1,0,9.864532452779504e-10,-0.0004292139282545583,5.732598931736406e-09,-0.00042239227595644124,4.746145686458455e-09,-0.00046676616523058293,1.282922418604172e-08,-7.096625254305314e-09,val2022_test_post2022,-0.0003535,NKE,0,-0.00046676616523058293,1.282922418604172e-08,2024
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.0016472280468004619,8.455390905312795e-15,-0.001607006397113578,1.625186577684144e-09,NKE_2024_Q2,0,tree_qa_logistic_sem,1,0,0,-1.0613518915673793e-09,-0.0016710652034338889,5.638346861167646e-10,-0.001607006397113578,1.625186577684144e-09,-0.0016472280468004619,8.455390905312795e-15,5.638262307258593e-10,val2022_test_post2022,-0.00164732,NKE,1,-0.0016472280468004619,8.455390905312795e-15,2024
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.0007034259372631342,4.014410100237365e-11,-0.0006912810822732846,3.374352515574736e-11,NKE_2024_Q3,0,tree_qa_logistic_sem,0,1,0,1.681200225998246e-10,-0.0007112978692193999,2.0186354775557195e-10,-0.0006912810822732846,3.374352515574736e-11,-0.0007034259372631342,4.014410100237365e-11,1.617194467531983e-10,val2022_test_post2022,-0.0006970899999999999,NKE,1,-0.0007034259372631342,4.014410100237365e-11,2024
residual_pre_call_market_only,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.0005026228422663993,9.490809676229532e-10,-0.0005048316676884467,8.178646110020328e-10,NKE_2025_Q1,0,tree_qa_logistic_sem,1,0,0,-6.291556225020432e-10,-0.0005471671390216446,1.8870898849998963e-10,-0.0005048316676884467,8.178646110020328e-10,-0.0005026228422663993,9.490809676229532e-10,-7.603719791229635e-10,val2022_test_post2022,-0.00053343,NKE,1,-0.0005026228422663993,9.490809676229532e-10,2025
residual_pre_call_market_only,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.00028226751142293774,2.9033225752572456e-09,-0.0003072295708120195,8.363912244169943e-10,NVDA_2023_Q2,0,tree_qa_logistic_sem,0,0,1,0.0,-0.0003072295708120195,8.363912244169943e-10,-0.0003072295708120195,8.363912244169943e-10,-0.00028226751142293774,2.9033225752572456e-09,-2.0669313508402513e-09,val2022_test_post2022,-0.00033615,NVDA,1,-0.00028226751142293774,2.9033225752572456e-09,2023
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,-0.007213383106101587,1.8603079392038767e-08,-0.007129785281411475,2.787341739316869e-09,NVDA_2024_Q2,1,tree_sem_logistic_qa,0,0,1,0.0,-0.007213383106101587,1.8603079392038767e-08,-0.007213383106101587,1.8603079392038767e-08,-0.007129785281411475,2.787341739316869e-09,1.5815737652721898e-08,val2022_test_post2022,-0.00707699,NVDA,0,-0.007129785281411475,2.787341739316869e-09,2024
