chosen_model,event_logistic_mode,event_logistic_top_features,event_tree_depth,event_tree_leaves,event_tree_mode,event_tree_used_features,logistic_override_threshold,logistic_test_qa_share,logistic_val_qa_share,qa_threshold,qa_val_activation_rate,router_label_qa_share,sem_audio_threshold,sem_audio_val_activation_rate,test_events,ticker,tree_override_threshold,tree_test_qa_share,tree_val_qa_share
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,logistic,qa_gate_active:0.6169|qa_evasive_proxy_share:0.5275|abs_sem_minus_qa_pred:0.4948|qa_multi_part_question_share:0.4857|qa_pair_answer_hedge_rate_mean:0.4409,2,3,tree,aligned_audio__aligned_audio_sentence_count|qa_evasive_proxy_share,0.7,0.2,0.3,0.7207,0.2,0.3,0.62779,0.9,5,AAPL,0.65,0.0,0.25
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,logistic,answer_to_question_word_ratio:0.6124|a4_strict_row_share:0.4862|sem_audio_gate_active:0.4122|qa_evasive_proxy_share:0.4055|qna_word_count:0.3509,2,4,tree,answer_to_question_word_ratio|qa_gate_active|qa_pair_answer_forward_rate_mean,0.5,0.6,0.45454545454545453,0.69665,0.5,0.5,0.6396299999999999,0.8636363636363636,5,AMGN,0.65,0.0,0.2727272727272727
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,logistic,abs_sem_minus_qa_pred:0.8892|qa_gate_active:0.51|sem_audio_gate_active:0.51|qa_pair_low_overlap_share:-0.4402|qa_bench_evasion_score_mean:-0.305,2,3,tree,abs_sem_minus_qa_pred|qa_pair_answer_hedge_rate_mean,0.5,1.0,0.35,0.69665,0.5,0.3,0.69665,0.5,6,AMZN,0.5,1.0,0.45
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,logistic,qa_bench_high_evasion_share:-0.5762|a4_strict_row_share:0.5278|qa_evasive_proxy_share:0.4769|qa_bench_coverage_mean:0.3643|abs_sem_minus_qa_pred:-0.3518,2,3,tree,qa_expert_pred,0.5,0.0,0.6,0.5814,1.0,0.55,0.62779,0.9,9,CSCO,0.5,0.3333333333333333,0.7
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,logistic,qa_multi_part_question_share:-0.6231|qa_pair_answer_forward_rate_mean:0.4912|sem_minus_qa_pred:-0.4906|qna_word_count:0.4299|qa_bench_coverage_mean:0.4087,2,3,tree,answer_to_question_word_ratio|qa_pair_answer_forward_rate_mean,0.6,0.4,0.65,0.5814,1.0,0.6,0.64054,0.8,5,DIS,0.85,1.0,1.0
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,logistic,qa_evasive_proxy_share:0.8026|qa_gate_active:0.6887|qa_bench_high_evasion_share:-0.5368|a4_strict_row_share:0.5237|a4_strict_high_conf_share:0.3291,2,3,tree,a4_strict_row_share|qa_evasive_proxy_share,0.5,0.7142857142857143,0.5714285714285714,0.7027,0.42857142857142855,0.5714285714285714,0.6281,0.9047619047619048,7,IBM,0.5,0.7142857142857143,0.6190476190476191
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,logistic,qa_gate_active:0.606|abs_sem_minus_qa_pred:0.462|qa_bench_coverage_mean:0.4345|a4_strict_row_share:0.4315|qa_pair_answer_assertive_rate_mean:0.3636,2,3,tree,abs_sem_minus_qa_pred|qa_expert_pred,0.5,0.42857142857142855,0.4,0.68372,0.6,0.3,0.71314,0.3,7,MSFT,0.5,0.5714285714285714,0.3
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,logistic,qna_word_count:0.5868|qa_multi_part_question_share:-0.4901|qa_bench_nonresponse_share:0.4745|qa_pair_answer_assertive_rate_mean:-0.4605|question_mark_per_1k_words:0.4203,2,3,tree,a4_strict_high_conf_share|qa_pair_count,0.5,0.125,0.631578947368421,0.5814,1.0,0.6842105263157895,0.64028,0.7894736842105263,8,NKE,0.7,0.0,0.3684210526315789
residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,logistic,abs_sem_minus_qa_pred:0.8664|qa_gate_active:0.6095|a4_strict_row_share:0.5208|qa_evasive_proxy_share:0.5151|answer_to_question_word_ratio:-0.4642,2,3,tree,abs_sem_minus_qa_pred|sem_audio_expert_pred,0.55,0.125,0.4090909090909091,0.69665,0.5,0.4090909090909091,0.6396299999999999,0.8636363636363636,8,NVDA,0.55,0.125,0.2727272727272727
