count_a,count_b,log_odds,ngram
8,0,3.1405875017796703,disney
4,0,2.504598735059674,platform
3,0,2.2532843067787676,the u s
3,0,2.2532843067787676,bob
3,0,2.2532843067787676,u s
3,0,2.2532843067787676,the disney
3,0,2.2532843067787676,sports
3,0,2.2532843067787676,that disney
3,0,2.2532843067787676,their
3,0,2.2532843067787676,the u
3,0,2.2532843067787676,content
2,0,1.9168120701575546,then second
2,0,1.9168120701575546,but you
2,0,1.9168120701575546,great
2,0,1.9168120701575546,that and then
2,0,1.9168120701575546,of their
2,0,1.9168120701575546,services to
2,0,1.9168120701575546,the next
2,0,1.9168120701575546,assets
2,0,1.9168120701575546,that and
