candidate_r2,candidate_rmse,held_out_ticker,model,n_remaining,prior_r2,prior_rmse,r2_gain,rmse_gain
0.917489698148818,0.0009985620971815527,AAPL,residual_pre_call_market_only,55,0.028447191576935316,0.0034265272908344546,0.8890425065718827,0.0024279651936529017
0.9165642215532463,0.0009994532276301877,AMGN,residual_pre_call_market_only,55,0.014493667134855559,0.0034349152285501447,0.9020705544183908,0.002435462000919957
0.9208819900380423,0.0009787726446664705,AMZN,residual_pre_call_market_only,54,0.01762766995912124,0.0034489127367470385,0.903254320078921,0.002470140092080568
0.9476918833823674,0.0007764528850603741,CSCO,residual_pre_call_market_only,51,0.035427061899462764,0.003334249563437507,0.9122648214829047,0.0025577966783771324
0.9173789485261153,0.0009972132105503927,DIS,residual_pre_call_market_only,55,0.029272359234692957,0.003418151929962375,0.8881065892914224,0.0024209387194119823
0.9192015377224048,0.0010001524051772082,IBM,residual_pre_call_market_only,53,0.043253364543172856,0.003441621512821516,0.8759481731792319,0.0024414691076443075
0.9178455266804545,0.0009953800987789736,MSFT,residual_pre_call_market_only,53,-0.01774311968221176,0.003503421840270635,0.9355886463626663,0.0025080417414916614
0.921504239336567,0.00099917935221617,NKE,residual_pre_call_market_only,52,0.03342486510953879,0.003506211897366565,0.8880793742270282,0.002507032545150395
0.7627429078713904,0.0008897792521615375,NVDA,residual_pre_call_market_only,52,0.19074001779025462,0.0016432994336807198,0.5720028900811358,0.0007535201815191823
0.926899209796928,0.0009399008128478484,AAPL,residual_pre_call_market_plus_a4_plus_qna_lsa,55,0.028447191576935316,0.0034265272908344546,0.8984520182199927,0.002486626477986606
0.9261884484580631,0.0009400446474929195,AMGN,residual_pre_call_market_plus_a4_plus_qna_lsa,55,0.014493667134855559,0.0034349152285501447,0.9116947813232076,0.002494870581057225
0.9292498441390631,0.0009255669657382799,AMZN,residual_pre_call_market_plus_a4_plus_qna_lsa,54,0.01762766995912124,0.0034489127367470385,0.9116221741799418,0.0025233457710087588
0.9594336216368184,0.0006837757347379522,CSCO,residual_pre_call_market_plus_a4_plus_qna_lsa,51,0.035427061899462764,0.003334249563437507,0.9240065597373557,0.0026504738286995547
0.9269576430359395,0.0009376268895882748,DIS,residual_pre_call_market_plus_a4_plus_qna_lsa,55,0.029272359234692957,0.003418151929962375,0.8976852838012466,0.0024805250403741
0.9272983922667675,0.0009487169140904022,IBM,residual_pre_call_market_plus_a4_plus_qna_lsa,53,0.043253364543172856,0.003441621512821516,0.8840450277235946,0.002492904598731114
0.9239831244012825,0.0009574770063350413,MSFT,residual_pre_call_market_plus_a4_plus_qna_lsa,53,-0.01774311968221176,0.003503421840270635,0.9417262440834943,0.0025459448339355934
0.9274322176106911,0.0009607099208567347,NKE,residual_pre_call_market_plus_a4_plus_qna_lsa,52,0.03342486510953879,0.003506211897366565,0.8940073525011523,0.0025455019765098304
0.8086186936230723,0.0007991391923877154,NVDA,residual_pre_call_market_plus_a4_plus_qna_lsa,52,0.19074001779025462,0.0016432994336807198,0.6178786758328176,0.0008441602412930044
0.9341929833016884,0.0008917786912831065,AAPL,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,55,0.028447191576935316,0.0034265272908344546,0.9057457917247531,0.002534748599551348
0.9351911519353482,0.0008808530548459485,AMGN,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,55,0.014493667134855559,0.0034349152285501447,0.9206974848004926,0.002554062173704196
0.9355228688869117,0.0008835822810400882,AMZN,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,54,0.01762766995912124,0.0034489127367470385,0.9178951989277905,0.0025653304557069503
0.9650642575815915,0.0006345495709282434,CSCO,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,51,0.035427061899462764,0.003334249563437507,0.9296371956821288,0.0026996999925092634
0.9341876606290086,0.0008900129556591497,DIS,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,55,0.029272359234692957,0.003418151929962375,0.9049153013943156,0.002528138974303225
0.9350687989087902,0.0008965847633627543,IBM,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,53,0.043253364543172856,0.003441621512821516,0.8918154343656174,0.0025450367494587616
0.931478637774234,0.0009090470036086847,MSFT,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,53,-0.01774311968221176,0.003503421840270635,0.9492217574564458,0.00259437483666195
0.934712964212453,0.0009112422026189369,NKE,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,52,0.03342486510953879,0.003506211897366565,0.9012880991029142,0.0025949696947476283
0.8279904118721958,0.000757615761162859,NVDA,residual_pre_call_market_plus_controls_plus_a4_plus_qna_lsa,52,0.19074001779025462,0.0016432994336807198,0.6372503940819412,0.0008856836725178608
