agreement_share,hard_r2,mean_mse_gain_vs_hard,mean_mse_gain_vs_pre,n,net_mse_gain_vs_hard,net_mse_gain_vs_pre,p_mse_vs_hard,pre_r2,route_minus_hard_r2,route_r2,share_of_overall_net_gain_vs_hard,slice,use_agreed_share,win_share_vs_hard,win_share_vs_pre
0.7333333333333333,0.9986401682388036,1.6306786658993457e-10,1.9397354091143706e-09,60,9.784071995396075e-09,1.1638412454686222e-07,0.04425,0.9984820619311983,1.4511470299516382e-05,0.9986546797091032,1.0,overall,0.4,0.15,0.13333333333333333
1.0,0.9991767018491332,4.892035997698037e-10,0.0,20,9.784071995396075e-09,0.0,0.047,0.9992481507299648,7.144888083154832e-05,0.9992481507299648,1.0,agreement_veto,0.0,0.45,0.0
1.0,0.9983707539885167,0.0,4.849338522785926e-09,24,0.0,1.1638412454686222e-07,1.0,0.9981194446762673,0.0,0.9983707539885167,0.0,agreement_keep,1.0,0.0,0.3333333333333333
0.0,0.9990420565517482,0.0,0.0,16,0.0,0.0,1.0,0.9990420565517482,0.0,0.9990420565517482,0.0,disagreement,0.0,0.0,0.0
0.7333333333333333,0.9974492391639789,2.287751774789515e-10,7.111974158965773e-09,15,3.4316276621842726e-09,1.066796123844866e-07,1.0,0.9971479820650343,1.001280748424982e-05,0.9974592519714631,0.35073614174129497,hard_miss_top_quartile,0.4666666666666667,0.06666666666666667,0.26666666666666666
0.6666666666666666,0.9963134378891862,2.390318490330996e-10,2.127569538600707e-09,33,7.888051018092287e-09,7.020979477382333e-08,0.19425,0.9959977669742455,3.995440647064363e-05,0.9963533922956569,0.8062135092427809,high_qna_density,0.3333333333333333,0.12121212121212122,0.09090909090909091
0.8076923076923077,0.9986401691678559,1.6496547582498743e-10,4.252549585853903e-09,26,4.289102371449673e-09,1.1056628923220148e-07,0.495,0.9984449143830904,7.880033195406533e-06,0.9986480492010513,0.43837600269784643,low_directness_high_evasion,0.46153846153846156,0.07692307692307693,0.19230769230769232
0.6666666666666666,0.9986691119671837,8.831676290626213e-11,3.3367210530305337e-09,30,2.649502887187864e-09,1.0010163159091601e-07,1.0,0.9984991909609144,4.619767702274125e-06,0.9986737317348859,0.27079756653820575,weaker_observability,0.4,0.03333333333333333,0.1
0.7142857142857143,0.9937739934681399,0.0,4.3412583995071636e-09,14,0.0,6.07776175931003e-08,1.0,0.9932040124565765,0.0,0.9937739934681399,0.0,dense_evasive_weak_obs,0.42857142857142855,0.0,0.14285714285714285
