test_activation_rate,test_events,threshold,ticker,val_activation_rate
1.0,5,0.62779,AAPL,0.9
0.6,5,0.6396299999999999,AMGN,0.8636363636363636
1.0,6,0.69665,AMZN,0.5
0.6666666666666666,9,0.62779,CSCO,0.9
1.0,5,0.5814,DIS,1.0
1.0,7,0.6281,IBM,0.9047619047619048
0.42857142857142855,7,0.69655,MSFT,0.5
1.0,8,0.5814,NKE,1.0
0.5,8,0.6396299999999999,NVDA,0.8636363636363636
