abs_effect_size,direction,effect_size,feature,rest_count,rest_mean,rest_median,top_miss_count,top_miss_mean,top_miss_median
0.7456795931553605,higher_in_top_miss,0.7456795931553605,qa_pair_count,45,6.177777777777778,5.0,15,8.533333333333333,9.0
0.6022081844474677,lower_in_top_miss,-0.6022081844474677,a4_strict_row_share,45,0.69284,0.6985,15,0.6665933333333334,0.6537
0.5904657710771021,lower_in_top_miss,-0.5904657710771021,qa_multi_part_question_share,45,0.7351666444444445,0.714286,15,0.6141120666666667,0.636364
0.5800272941643403,lower_in_top_miss,-0.5800272941643403,qa_bench_direct_early_score_mean,45,0.7604132888888889,0.776937,15,0.6587879333333333,0.597739
0.5744566379279569,lower_in_top_miss,-0.5744566379279569,a4_strict_high_conf_share,45,0.949454377777778,0.949721,15,0.9404359999999999,0.939759
0.5721206552384336,lower_in_top_miss,-0.5721206552384336,qa_bench_coverage_mean,45,0.19425935555555557,0.192624,15,0.1775026,0.174739
0.56986076766456,higher_in_top_miss,0.56986076766456,qa_bench_evasion_score_mean,45,0.2200273333333333,0.216063,15,0.2543278,0.269239
0.5579504627878081,lower_in_top_miss,-0.5579504627878081,qa_bench_direct_answer_share,45,0.831164311111111,0.833333,15,0.7436304,0.714286
0.5390151260965272,higher_in_top_miss,0.5390151260965272,qa_pair_low_overlap_share,45,0.2637633777777778,0.25,15,0.3519620666666667,0.333333
0.5388030134511039,higher_in_top_miss,0.5388030134511039,qa_pair_answer_forward_rate_mean,45,4.519542,4.485054,15,9.686763133333333,5.235937
0.49354013085072873,lower_in_top_miss,-0.49354013085072873,a4_median_match_score,45,98.55424888888889,98.5603,15,98.50230666666666,98.5124
0.4292101230860023,higher_in_top_miss,0.4292101230860023,qa_pair_answer_assertive_rate_mean,45,4.472795088888889,4.19125,15,5.803247733333333,4.984772
0.38691231858669084,higher_in_top_miss,0.38691231858669084,qa_bench_high_evasion_share,45,0.08506324444444445,0.0,15,0.1353388,0.111111
0.38617744269910004,higher_in_top_miss,0.38617744269910004,revenue_surprise_pct,45,0.01427812198259113,0.009411883781016518,15,0.028801247232508074,0.005118846400504008
0.32325018351569274,higher_in_top_miss,0.32325018351569274,abs_revenue_surprise_pct,45,0.019029114729491935,0.010125485673926215,15,0.03048398306508536,0.006820828171031603
0.3202139002280566,lower_in_top_miss,-0.3202139002280566,analyst_revenue_num_est,45,28.266666666666666,27.0,15,25.333333333333332,22.0
0.3039049739000325,lower_in_top_miss,-0.3039049739000325,ebitda_surprise_pct,41,0.08684610188014252,0.05976280522510926,13,0.060606566555413126,0.0390527889906743
0.2817697700228864,higher_in_top_miss,0.2817697700228864,analyst_eps_norm_std,45,0.05850733333333334,0.05223,15,0.07468933333333334,0.03845
0.24503856322027057,lower_in_top_miss,-0.24503856322027057,abs_ebitda_surprise_pct,41,0.0918069445958287,0.05976280522510926,13,0.07227684131488271,0.062475040206767724
0.24167175753853495,lower_in_top_miss,-0.24167175753853495,analyst_revenue_std,45,493864.2202222222,245669.03,15,333101.798,113814.28
0.1369097501998986,lower_in_top_miss,-0.1369097501998986,analyst_eps_norm_num_est,45,27.266666666666666,27.0,15,26.2,23.0
0.12883615134810184,higher_in_top_miss,0.12883615134810184,abs_eps_gaap_surprise_pct,45,0.31830484862779795,0.13587128353455036,15,0.41930760670372763,0.3405264018309629
0.12217025889529495,lower_in_top_miss,-0.12217025889529495,qa_pair_answer_hedge_rate_mean,45,10.734912422222221,9.302733,15,10.067585333333334,11.300427
0.12067462792519267,lower_in_top_miss,-0.12067462792519267,qa_bench_nonresponse_share,45,0.008898511111111111,0.0,15,0.0051282,0.0
0.09744478206293265,higher_in_top_miss,0.09744478206293265,qa_evasive_proxy_share,45,0.0515506888888889,0.0,15,0.06229993333333333,0.0
0.02688709952991478,higher_in_top_miss,0.02688709952991478,eps_gaap_surprise_pct,45,-0.001147536241519134,0.09522170416497175,15,0.021865794362946566,0.0492651550540802
